n_parcel,lat,lon,timestamp
101,-4.048967,-38.063034,2022-02-03 18:00:00
101,-4.086423,-38.00116,2022-02-03 12:00:00
101,-4.124986,-37.948456,2022-02-03 06:00:00
101,-4.146307,-37.893955,2022-02-03 00:00:00
101,-4.17917,-37.842804,2022-02-02 18:00:00
101,-4.204711,-37.760571,2022-02-02 12:00:00
101,-4.258797,-37.698608,2022-02-02 06:00:00
101,-4.279898,-37.6064,2022-02-02 00:00:00
101,-4.336333,-37.55537,2022-02-01 18:00:00
101,-4.360111,-37.447498,2022-02-01 12:00:00
101,-4.430313,-37.380238,2022-02-01 06:00:00
101,-4.443132,-37.264885,2022-02-01 00:00:00
101,-4.496904,-37.221752,2022-01-31 18:00:00
101,-4.507487,-37.116211,2022-01-31 12:00:00
101,-4.564578,-37.06509000000001,2022-01-31 06:00:00
101,-4.5737190000000005,-36.988506,2022-01-31 00:00:00
101,-4.604865,-36.934891,2022-01-30 18:00:00
101,-4.6109230000000005,-36.876503,2022-01-30 12:00:00
101,-4.638602,-36.841133,2022-01-30 06:00:00
101,-4.6374010000000006,-36.80159,2022-01-30 00:00:00
101,-4.655357,-36.784893,2022-01-29 18:00:00
101,-4.649547,-36.769119,2022-01-29 12:00:00
101,-4.643058,-36.761776,2022-01-29 06:00:00
101,-4.624842,-36.750324,2022-01-29 00:00:00
101,-4.607971,-36.738842,2022-01-28 18:00:00
101,-4.599895,-36.715755,2022-01-28 12:00:00
101,-4.596817,-36.688229,2022-01-28 06:00:00
101,-4.589423,-36.64397,2022-01-28 00:00:00
101,-4.579136,-36.589241,2022-01-27 18:00:00
101,-4.585797,-36.532001,2022-01-27 12:00:00
101,-4.598731,-36.477825,2022-01-27 06:00:00
101,-4.610509,-36.415993,2022-01-27 00:00:00
101,-4.621164,-36.349205,2022-01-26 18:00:00
101,-4.638676,-36.28643,2022-01-26 12:00:00
101,-4.6576,-36.229965,2022-01-26 06:00:00
101,-4.67261,-36.17681500000001,2022-01-26 00:00:00
101,-4.6795290000000005,-36.12096,2022-01-25 18:00:00
101,-4.692883,-36.068535,2022-01-25 12:00:00
101,-4.713748000000002,-36.022175,2022-01-25 06:00:00
101,-4.727253,-35.971081,2022-01-25 00:00:00
101,-4.730959,-35.897202,2022-01-24 18:00:00
101,-4.739871,-35.83026500000001,2022-01-24 12:00:00
101,-4.747718,-35.766621,2022-01-24 06:00:00
101,-4.761287,-35.690937,2022-01-24 00:00:00
101,-4.775622,-35.584522,2022-01-23 18:00:00
101,-4.801201,-35.489227,2022-01-23 12:00:00
101,-4.824553,-35.39067100000001,2022-01-23 06:00:00
101,-4.868156,-35.303696,2022-01-23 00:00:00
101,-4.945191,-35.195797,2022-01-22 18:00:00
101,-5.025943,-35.113323,2022-01-22 12:00:00
101,-5.1113300000000015,-35.039024,2022-01-22 06:00:00
101,-5.18661,-34.971039000000005,2022-01-22 00:00:00
101,-5.253108,-34.908421000000004,2022-01-21 18:00:00
101,-5.307793,-34.860054,2022-01-21 12:00:00
101,-5.358212,-34.813614,2022-01-21 06:00:00
101,-5.396693,-34.749207,2022-01-21 00:00:00
101,-5.454862,-34.675415,2022-01-20 18:00:00
101,-5.51812,-34.613781,2022-01-20 12:00:00
101,-5.584671,-34.559914,2022-01-20 06:00:00
101,-5.647997,-34.503440999999995,2022-01-20 00:00:00
101,-5.719543,-34.438869,2022-01-19 18:00:00
101,-5.78273,-34.379963000000004,2022-01-19 12:00:00
101,-5.834796,-34.320293,2022-01-19 06:00:00
101,-5.876264,-34.245529,2022-01-19 00:00:00
101,-5.9268589999999985,-34.143486,2022-01-18 18:00:00
101,-5.979215,-34.046741,2022-01-18 12:00:00
101,-6.035978,-33.964157,2022-01-18 06:00:00
101,-6.096742,-33.890873,2022-01-18 00:00:00
101,-6.165175,-33.821598,2022-01-17 18:00:00
101,-6.230537,-33.766239,2022-01-17 12:00:00
101,-6.279967,-33.723667,2022-01-17 06:00:00
101,-6.313964,-33.676258000000004,2022-01-17 00:00:00
101,-6.339013,-33.622944,2022-01-16 18:00:00
101,-6.360777,-33.570122,2022-01-16 12:00:00
101,-6.369827,-33.520027,2022-01-16 06:00:00
101,-6.37081,-33.450783,2022-01-16 00:00:00
101,-6.369004,-33.364616,2022-01-15 18:00:00
101,-6.379615,-33.269455,2022-01-15 12:00:00
101,-6.399647,-33.17329,2022-01-15 06:00:00
101,-6.426021,-33.070782,2022-01-15 00:00:00
101,-6.454597,-32.967934,2022-01-14 18:00:00
101,-6.489385,-32.867588,2022-01-14 12:00:00
101,-6.525556,-32.78323,2022-01-14 06:00:00
101,-6.565378,-32.704964000000004,2022-01-14 00:00:00
101,-6.596503,-32.639713,2022-01-13 18:00:00
101,-6.623471,-32.585068,2022-01-13 12:00:00
101,-6.650128,-32.54388400000001,2022-01-13 06:00:00
101,-6.674602,-32.499171999999994,2022-01-13 00:00:00
101,-6.681863000000001,-32.456024,2022-01-12 18:00:00
101,-6.676328999999999,-32.413447999999995,2022-01-12 12:00:00
101,-6.6644380000000005,-32.369564000000004,2022-01-12 06:00:00
101,-6.6512020000000005,-32.310589,2022-01-12 00:00:00
101,-6.642622,-32.242184,2022-01-11 18:00:00
101,-6.645065,-32.170059,2022-01-11 12:00:00
101,-6.658842,-32.098846,2022-01-11 06:00:00
101,-6.678858999999999,-32.020004,2022-01-11 00:00:00
101,-6.699714,-31.931112,2022-01-10 18:00:00
101,-6.720292999999999,-31.852135,2022-01-10 12:00:00
101,-6.742909,-31.790123,2022-01-10 06:00:00
101,-6.76665,-31.729805,2022-01-10 00:00:00
102,-3.2321880000000003,-39.266476,2022-02-10 00:00:00
102,-3.262927,-39.222488,2022-02-09 18:00:00
102,-3.2902150000000003,-39.185368,2022-02-09 12:00:00
102,-3.317713,-39.140049,2022-02-09 06:00:00
102,-3.345703,-39.09891500000001,2022-02-09 00:00:00
102,-3.367824,-39.054276,2022-02-08 18:00:00
102,-3.396486,-39.020676,2022-02-08 12:00:00
102,-3.424567,-38.97678,2022-02-08 06:00:00
102,-3.4509220000000003,-38.949341,2022-02-08 00:00:00
102,-3.476809,-38.91188,2022-02-07 18:00:00
102,-3.505749,-38.869431,2022-02-07 12:00:00
102,-3.52295,-38.831184,2022-02-07 06:00:00
102,-3.541852,-38.797287,2022-02-07 00:00:00
102,-3.562869,-38.751598,2022-02-06 18:00:00
102,-3.59891,-38.699875,2022-02-06 12:00:00
102,-3.623115,-38.650509,2022-02-06 06:00:00
102,-3.652196,-38.602352,2022-02-06 00:00:00
102,-3.681259,-38.545696,2022-02-05 18:00:00
102,-3.72383,-38.490768,2022-02-05 12:00:00
102,-3.766898,-38.44273,2022-02-05 06:00:00
102,-3.815443,-38.394901,2022-02-05 00:00:00
102,-3.859305,-38.343563,2022-02-04 18:00:00
102,-3.908906,-38.293972,2022-02-04 12:00:00
102,-3.950944,-38.248547,2022-02-04 06:00:00
102,-3.990328,-38.20126,2022-02-04 00:00:00
102,-4.0285150000000005,-38.147022,2022-02-03 18:00:00
102,-4.068778,-38.09023300000001,2022-02-03 12:00:00
102,-4.107653,-38.036926,2022-02-03 06:00:00
102,-4.1327300000000005,-37.989967,2022-02-03 00:00:00
102,-4.169664,-37.945282,2022-02-02 18:00:00
102,-4.198435,-37.87973,2022-02-02 12:00:00
102,-4.238404,-37.819279,2022-02-02 06:00:00
102,-4.2618870000000015,-37.73267,2022-02-02 00:00:00
102,-4.320618,-37.679279,2022-02-01 18:00:00
102,-4.359135,-37.579338,2022-02-01 12:00:00
